ID,Entry,Gene names,Cross-reference (STRING)
7366,P08865,RPSA LAMBR LAMR1,9606.ENSP00000346067
7367,Q8WUX1,SLC38A5 JM24 SN2 SNAT5 PP7194,9606.ENSP00000471683
7368,Q5QGT7,RTP2 Z3CXXC2,9606.ENSP00000350976
7369,Q9Y2V3,RAX RX,9606.ENSP00000334813
7370,Q9UDX3,SEC14L4 TAP3,9606.ENSP00000255858
7371,Q9BXP2,SLC12A9 CCC6 CIP1,9606.ENSP00000275730
7372,Q86UD0,SAPCD2 C9orf140,9606.ENSP00000386348
7373,Q9C0C4,SEMA4C KIAA1739 SEMAI UNQ5855/PRO34487,9606.ENSP00000306844
7374,Q9Y2C5,SLC17A4,9606.ENSP00000367137
7375,O60939,SCN2B UNQ326/PRO386,9606.ENSP00000278947
7376,Q6NUK1,SLC25A24 APC1 MCSC1 SCAMC1,9606.ENSP00000457733
7377,Q8IVN8,SBSPON C8orf84 RPESP,9606.ENSP00000297354
7378,A4FU49,SH3D21 C1orf113,9606.ENSP00000421294
7379,P13866,SLC5A1 NAGT SGLT1,9606.ENSP00000266088
7380,Q01959,SLC6A3 DAT1,9606.ENSP00000270349
7381,Q658L1,SAXO2 FAM154B,9606.ENSP00000340445
7382,O00767,SCD FADS5 SCD1 SCDOS,9606.ENSP00000359380
7383,Q9UGP8,SEC63 SEC63L,9606.ENSP00000357998
7384,O95416,SOX14 SOX28,9606.ENSP00000305343
7385,O15370,SOX12 SOX22,9606.ENSP00000347646
7386,Q9NYB5,SLCO1C1 OATP14 OATP1C1 OATPF SLC21A14,9606.ENSP00000444149
7387,O14508,SOCS2 CIS2 SSI2 STATI2,9606.ENSP00000481249
7388,P50452,SERPINB8 PI8,9606.ENSP00000381072
7389,O94956,SLCO2B1 KIAA0880 OATP2B1 OATPB SLC21A9,9606.ENSP00000289575
7390,Q15475,SIX1,9606.ENSP00000247182
7391,Q96KW9,SPACA7 C13orf28,9606.ENSP00000283550
7392,Q9H4F8,SMOC1,9606.ENSP00000355110
7393,Q9Y657,SPIN1 OCR SPIN,9606.ENSP00000365019
7394,Q86WD7,SERPINA9 GCET1 SERPINA11 UNQ692/PRO1337,9606.ENSP00000337133
7395,Q9NQ25,SLAMF7 CS1 UNQ576/PRO1138,9606.ENSP00000357022
7396,Q13425,SNTB2 D16S2531E SNT2B2 SNTL,9606.ENSP00000338191
7397,A6NLX3,SPDYE4,9606.ENSP00000329522
7398,A6NIY4,SPDYE5,9606.ENSP00000485398
7399,Q9C0K7,STRADB ALS2CR2 ILPIP PRO1038,9606.ENSP00000194530
7400,P37108,SRP14,9606.ENSP00000267884
7401,Q9BWG4,SSBP4,9606.ENSP00000270061
7402,Q9HD15,SRA1 PP7684,9606.ENSP00000337513
7403,Q9UGK8,SERGEF DELGEF GNEFR,9606.ENSP00000265965
7404,Q6NZ63,STEAP1B,9606.ENSP00000384370
7405,Q9BXP5,SRRT ARS2 ASR2,9606.ENSP00000480421
7406,Q99469,STAC STAC1,9606.ENSP00000273183
7407,O94768,STK17B DRAK2,9606.ENSP00000263955
7408,Q7RTT5,SSX7,9606.ENSP00000298181
7409,O95630,STAMBP AMSH,9606.ENSP00000377633
7410,Q9BXU3,TEX13A,9606.ENSP00000471604
7411,Q13243,SRSF5 HRS SFRS5 SRP40,9606.ENSP00000452123
7412,O75716,STK16 MPSK1 PKL12 TSF1,9606.ENSP00000386928
7413,P49675,STAR STARD1,9606.ENSP00000276449
7414,Q9NUC0,SERTAD4,9606.ENSP00000355979
7415,Q9NQZ5,STARD7 GTT1,9606.ENSP00000338030
7416,Q9NY57,STK32B YANK2 UNQ3003/PRO9744,9606.ENSP00000282908
7417,Q96FJ0,STAMBPL1 AMSHLP KIAA1373,9606.ENSP00000360994
7418,P52823,STC1 STC,9606.ENSP00000290271
7419,Q9NSD9,FARSB FARSLB FRSB HSPC173,9606.ENSP00000281828
7420,Q9UJT0,TUBE1 TUBE,9606.ENSP00000357651
7421,Q8N3R3,TCAIM C3orf23 TOAG1,9606.ENSP00000341539
7422,Q16650,TBR1,9606.ENSP00000374205
7423,Q3ZCQ8,TIMM50 TIM50 PRO1512,9606.ENSP00000445806
7424,Q96B77,TMEM186 C16orf51,9606.ENSP00000331640
7425,Q9H1K6,TLNRD1 MESDC1,9606.ENSP00000267984
7426,P10600,TGFB3,9606.ENSP00000238682
7427,Q6UW68,TMEM205 UNQ501/PRO1018,9606.ENSP00000346954
7428,P48307,TFPI2,9606.ENSP00000222543
7429,P22735,TGM1 KTG,9606.ENSP00000206765
7430,Q9BWD1,ACAT2 ACTL,9606.ENSP00000356015
7431,Q9HCS4,TCF7L1 TCF3,9606.ENSP00000282111
7432,Q969F1,GTF3C6 C6orf51 CDA020 NPD020,9606.ENSP00000357863
7433,Q99594,TEAD3 TEAD5 TEF5,9606.ENSP00000345772
7434,Q7L2K0,TEDC2 C16orf59,9606.ENSP00000355022
7435,Q8WUA4,GTF3C2 KIAA0011,9606.ENSP00000352536
7436,Q9UL49,TCFL5 CHA E2BP1,9606.ENSP00000334294
7437,Q96QE5,TEFM C17orf42,9606.ENSP00000462963
7438,Q7Z4K8,TRIM46 TRIFIC,9606.ENSP00000334657
7439,Q9BRJ9,MESP1 BHLHC5,9606.ENSP00000300057
7440,Q9H000,MKRN2 RNF62 HSPC070,9606.ENSP00000170447
7441,Q9BUN1,MENT C1orf56 UNQ547/PRO1104,9606.ENSP00000357922
7442,Q9NV56,MRGBP C20orf20,9606.ENSP00000359518
7443,Q9HD23,MRS2 HPT MRS2L,9606.ENSP00000399585
7444,Q8NGR4,OR5C1 OR5C2P,9606.ENSP00000362784
7445,Q68DK7,MSL1 MSL1L1,9606.ENSP00000462945
7446,Q5VZ52,MORN5 C9orf113 C9orf18,9606.ENSP00000362869
7447,Q8NDC4,MORN4 C10orf83,9606.ENSP00000307636
7448,Q86U44,METTL3 MTA70,9606.ENSP00000298717
7449,Q13506,NAB1,9606.ENSP00000336894
7450,P04181,OAT,9606.ENSP00000357838
7451,O95918,OR2H2 FAT11 OLFR2 OR2H3,9606.ENSP00000373136
7452,Q8NGZ4,OR2G3,9606.ENSP00000326301
7453,O43913,ORC5 ORC5L,9606.ENSP00000297431
7454,Q8NH83,OR4A5,9606.ENSP00000367664
7455,P47874,OMP,9606.ENSP00000436376
7456,Q8NGQ6,OR9I1,9606.ENSP00000302606
7457,Q8NH80,OR10D3 OR10D3P,9606.ENSP00000323895
7458,Q8NGU2,OR9A4,9606.ENSP00000448789
7459,Q9BR26,OCSTAMP C20orf123,9606.ENSP00000279028
7460,P53611,RABGGTB GGTB,9606.ENSP00000317473
7461,Q96FA3,PELI1 PRISM,9606.ENSP00000351789
7462,Q05209,PTPN12,9606.ENSP00000248594
7463,Q13882,PTK6 BRK,9606.ENSP00000442460
7464,Q9BQ52,ELAC2 HPC2,9606.ENSP00000337445
7465,P60602,ROMO1 C20orf52,9606.ENSP00000363191
7466,Q93091,RNASE6 RNS6,9606.ENSP00000302046
7467,P22626,HNRNPA2B1 HNRPA2B1,9606.ENSP00000346694
7468,Q9H0F5,RNF38,9606.ENSP00000259605
7469,Q9Y5X0,SNX10,9606.ENSP00000395474
7470,Q9H106,SIRPD PTPNS1L2,9606.ENSP00000371036
7471,Q9BUZ4,TRAF4 CART1 MLN62 RNF83,9606.ENSP00000262395
7472,Q9UNP4,ST3GAL5 SIAT9 UNQ2510/PRO5998,9606.ENSP00000366549
7473,Q14515,SPARCL1,9606.ENSP00000414856
7474,Q5BIV9,SPRN SHO,9606.ENSP00000433712
7475,Q01892,SPIB,9606.ENSP00000471921
7476,P29353,SHC1 SHC SHCA,9606.ENSP00000401303
7477,Q08ET2,SIGLEC14 UNQ294/PRO333,9606.ENSP00000354090
7478,Q8WXH5,SOCS4 SOCS7,9606.ENSP00000378855
7479,Q9P2W9,STX18 GIG9,9606.ENSP00000305810
7480,A6NHP3,SPDYE2B,9606.ENSP00000424058
7481,P30872,SSTR1,9606.ENSP00000267377
7482,Q9UHE8,STEAP1 PRSS24 STEAP,9606.ENSP00000297205
7483,Q9BT56,SPX C12orf39,9606.ENSP00000256969
7484,P78539,SRPX ETX1,9606.ENSP00000367794
7485,Q9P246,STIM2 KIAA1482,9606.ENSP00000417569
7486,Q8IWL8,STH,9606.ENSP00000443168
7487,Q6IMI6,SULT1C3,9606.ENSP00000333310
7488,Q9UJW9,SERTAD3 RBT1,9606.ENSP00000325414
7489,P59095,STARD6,9606.ENSP00000462349
7490,Q15208,STK38 NDR1,9606.ENSP00000229812
7491,Q9Y2H1,STK38L KIAA0965 NDR2,9606.ENSP00000373684
7492,P40763,STAT3 APRF,9606.ENSP00000264657
7493,Q8TAV4,STOML3,9606.ENSP00000368952
7494,Q9BYN0,SRXN1 C20orf139 SRX SRX1,9606.ENSP00000371388
7495,Q93045,STMN2 SCG10 SCGN10,9606.ENSP00000429243
7496,P49591,SARS1 SARS SERS,9606.ENSP00000234677
7497,Q9H2B2,SYT4 KIAA1342,9606.ENSP00000255224
7498,O43435,TBX1,9606.ENSP00000331791
7499,O43581,SYT7 PCANAP7,9606.ENSP00000444201
7500,Q6UXP3,TMEM14EP TMEM14E UNQ9344/PRO34067,9606.ENSP00000386163
7501,P32780,GTF2H1 BTF2,9606.ENSP00000265963
7502,P16035,TIMP2,9606.ENSP00000262768
7503,P35625,TIMP3,9606.ENSP00000266085
7504,Q9BSN7,TMEM204 C16orf30 CLP24 UNQ6509/PRO21434,9606.ENSP00000454945
7505,Q9NYZ2,SLC25A37 MFRN MSCP HT015,9606.ENSP00000429200
7506,Q96EY8,MMAB,9606.ENSP00000445920
7507,Q9NQG6,MIEF1 MID51 SMCR7L,9606.ENSP00000327124
7508,Q8NHV5,MOSMO ATTHOG C16orf52,9606.ENSP00000454926
7509,Q96GX9,APIP CGI-29,9606.ENSP00000379133
7510,Q4VC12,MSS51 ZMYND17,9606.ENSP00000299432
7511,P80294,MT1H,9606.ENSP00000330587
7512,Q8N9H8,EXD3 HBE269,9606.ENSP00000340474
7513,Q9H867,VCPKMT C14orf138 METTL21D,9606.ENSP00000379201
7514,Q13613,MTMR1,9606.ENSP00000359417
7515,Q9H4K7,MTG2 GTPBP5 OBGH1,9606.ENSP00000359859
7516,P61599,NAA20 NAT5,9606.ENSP00000335636
7517,Q7Z417,NUFIP2 KIAA1321 PIG1,9606.ENSP00000225388
7518,Q8NGQ5,OR9Q1,9606.ENSP00000334934
7519,O95989,NUDT3 DIPP DIPP1,9606.ENSP00000476119
7520,Q13415,ORC1 ORC1L PARC1,9606.ENSP00000360623
7521,Q8NGH7,OR52L1,9606.ENSP00000330338
7522,P11182,DBT BCATE2,9606.ENSP00000359151
7523,Q8NGA6,OR10H5,9606.ENSP00000310704
7524,A6ND48,OR14I1 OR5BU1 OR5BU1P,9606.ENSP00000339726
7525,Q5W0B1,OBI1 C13orf7 RNF219,9606.ENSP00000282003
7526,Q96DU9,PABPC5 PABP5,9606.ENSP00000308012
7527,Q16342,PDCD2 RP8 ZMYND7,9606.ENSP00000439467
7528,Q8N165,PDIK1L CLIK1L,9606.ENSP00000363389
7529,Q15118,PDK1 PDHK1,9606.ENSP00000376352
7530,P07237,P4HB ERBA2L PDI PDIA1 PO4DB,9606.ENSP00000327801
7531,P35558,PCK1 PEPCK1,9606.ENSP00000319814
7532,C9JE40,PATL2,9606.ENSP00000416673
7533,Q9H0J9,PARP12 ZC3HDC1,9606.ENSP00000263549
7534,Q9Y3A3,MOB4 MOB3 MOBKL3 PHOCN PREI3 CGI-95,9606.ENSP00000315702
7535,P50542,PEX5 PXR1,9606.ENSP00000391601
7536,Q7Z412,PEX26,9606.ENSP00000331106
7537,Q6NSJ2,PHLDB3,9606.ENSP00000292140
7538,Q5SGD2,PPM1L PP2CE,9606.ENSP00000417659
7539,Q08752,PPID CYP40 CYPD,9606.ENSP00000303754
7540,Q9NZF1,PLAC8 BM-004,9606.ENSP00000399700
7541,Q9Y6A1,POMT1,9606.ENSP00000361302
7542,O15305,PMM2,9606.ENSP00000268261
7543,Q8TB68,PRR7,9606.ENSP00000327168
7544,Q9BU68,PRR15L ATAD4,9606.ENSP00000300557
7545,Q86Y79,PTRH1 C9orf115,9606.ENSP00000418661
7546,P22234,PAICS ADE2 AIRC PAIS,9606.ENSP00000382595
7547,Q9BT73,PSMG3 C7orf48 PAC3,9606.ENSP00000288607
7548,Q8NG50,RDM1 RAD52B,9606.ENSP00000483549
7549,O14966,RAB29 RAB7L1,9606.ENSP00000356107
7550,O94991,SLITRK5 KIAA0918 LRRC11,9606.ENSP00000366283
7551,Q8NEM2,SHCBP1,9606.ENSP00000306473
7552,Q9HAT2,SIAE YSG2,9606.ENSP00000263593
7553,Q9HD40,SEPSECS TRNP48,9606.ENSP00000371535
7554,P22532,SPRR2D,9606.ENSP00000357746
7555,O00463,TRAF5 RNF84,9606.ENSP00000261464
7556,B8ZZ34,SHISA8 C22orf17,9606.ENSP00000481203
7557,A6NL88,SHISA7,9606.ENSP00000365503
7558,Q53LP3,SOWAHC ANKRD57 C2orf26,9606.ENSP00000365830
7559,O75558,STX11,9606.ENSP00000356540
7560,Q1ZZU3,SWI5 C9orf119 SAE3,9606.ENSP00000316609
7561,Q12846,STX4 STX4A,9606.ENSP00000317714
7562,Q9NUV7,SPTLC3 C20orf38 SPTLC2L,9606.ENSP00000381968
7563,O43776,NARS1 NARS NRS,9606.ENSP00000256854
7564,Q6ZMB5,TMEM184A,9606.ENSP00000297477
7565,Q9NP81,SARS2 SARSM,9606.ENSP00000472847
7566,O60507,TPST1,9606.ENSP00000302413
7567,Q6UE05,TMEM270 WBSCR28,9606.ENSP00000316775
7568,Q03014,HHEX HEX PRH PRHX,9606.ENSP00000282728
7569,Q8N344,MIER2 KIAA1193,9606.ENSP00000264819
7570,Q9HAP2,MLXIP BHLHE36 KIAA0867 MIR MONDOA,9606.ENSP00000312834
7571,Q86TA1,MOB3B C9orf35 MOBKL2B,9606.ENSP00000262244
7572,P20645,M6PR MPR46 MPRD,9606.ENSP00000000412
7573,Q92901,RPL3L,9606.ENSP00000268661
7574,P83881,RPL36A RPL44 GIG15 MIG6,9606.ENSP00000404375
7575,O75394,MRPL33 C2orf1,9606.ENSP00000296102
7576,Q9NYK5,MRPL39 C21orf92 MRPL5 RPML5 MSTP003 PRED22,9606.ENSP00000305682
7577,P12271,RLBP1 CRALBP,9606.ENSP00000268125
7578,Q9H7B2,RPF2 BXDC1,9606.ENSP00000402338
7579,Q92565,RAPGEF5 GFR KIAA0277 MRGEF,9606.ENSP00000343656
7580,P10155,RO60 SSA2 TROVE2,9606.ENSP00000356416
7581,P09651,HNRNPA1 HNRPA1,9606.ENSP00000341826
7582,P19387,POLR2C A-152E5.7,9606.ENSP00000219252
7583,Q9BZX4,ROPN1B,9606.ENSP00000426271
7584,Q96TC7,RMDN3 FAM82A2 FAM82C PTPIP51 hucep-10 UNQ3122/PRO10274,9606.ENSP00000260385
7585,O75792,RNASEH2A RNASEHI RNHIA,9606.ENSP00000221486
7586,Q9NTX7,RNF146,9606.ENSP00000357297
7587,Q9H9A7,RMI1 C9orf76,9606.ENSP00000317039
7588,Q9P0P0,RNF181 HSPC238,9606.ENSP00000306906
7589,Q8ND24,RNF214,9606.ENSP00000300650
7590,Q495C1,RNF212,9606.ENSP00000389709
7591,Q8N413,SLC25A45,9606.ENSP00000381782
7592,Q9Y291,MRPS33 CGI-139 PTD003,9606.ENSP00000376732
7593,Q9H1N7,SLC35B3 C6orf196 PAPST2 CGI-19,9606.ENSP00000368981
7594,A6NNN8,SLC38A8,9606.ENSP00000299709
7595,Q96JT2,SLC45A3 PCANAP6 PRST,9606.ENSP00000356113
7596,Q9Y3I0,RTCB C22orf28 HSPC117,9606.ENSP00000216038
7597,Q8WYR4,RSPH1 TSA2 TSGA2,9606.ENSP00000291536
7598,A1A4F0,SLC66A1L C3orf55 PQLC2L,9606.ENSP00000413228
7599,Q86VE9,SERINC5 C5orf12,9606.ENSP00000426237
7600,P20132,SDS SDH,9606.ENSP00000257549
7601,Q9BV35,SLC25A23 APC2 MCSC2 SCAMC3,9606.ENSP00000301454
7602,Q96RF0,SNX18 SH3PXD3B SNAG1,9606.ENSP00000317332
7603,Q9H2Y9,SLCO5A1 OATP5A1 SLC21A15,9606.ENSP00000260126
7604,Q3B7S5,SMIM21 C18orf62,9606.ENSP00000462106
7605,P08294,SOD3,9606.ENSP00000371554
7606,Q8IXZ3,SP8,9606.ENSP00000408792
7607,Q9NPC8,SIX2,9606.ENSP00000304502
7608,Q99747,NAPG SNAPG,9606.ENSP00000324628
7609,Q9HAU4,SMURF2,9606.ENSP00000262435
7610,Q6UX34,SNORC C2orf82 UNQ830/PRO1757,9606.ENSP00000386804
7611,O95863,SNAI1 SNAH,9606.ENSP00000244050
7612,Q96DI7,SNRNP40 PRP8BP SFP38 WDR57,9606.ENSP00000263694
7613,Q9NSN8,SNTG1,9606.ENSP00000429842
7614,Q537H7,SPATA45 C1orf227 HSD-44 HSD44,9606.ENSP00000419160
7615,Q9H741,SPRING1 C12orf49 SPRING,9606.ENSP00000261318
7616,Q5JTZ9,AARS2 AARSL KIAA1270,9606.ENSP00000244571
7617,Q8IYB3,SRRM1 SRM160,9606.ENSP00000326261
7618,Q9Y5Y6,ST14 PRSS14 SNC19 TADG15,9606.ENSP00000278742
7619,O76094,SRP72,9606.ENSP00000342181
7620,Q9Y5M8,SRPRB PSEC0230,9606.ENSP00000418401
7621,O43597,SPRY2,9606.ENSP00000366306
7622,Q9BYT3,STK33,9606.ENSP00000416750
7623,P50225,SULT1A1 STP STP1 OK/SW-cl.88,9606.ENSP00000378972
7624,Q8TDR2,STK35 CLIK1 PDIK1 STK35L1,9606.ENSP00000370891
7625,P49589,CARS1 CARS,9606.ENSP00000369897
7626,Q9UHV2,SERTAD1 SEI1 TRIPBR1,9606.ENSP00000350633
7627,Q96DR4,STARD4,9606.ENSP00000296632
7628,Q9NSY2,STARD5,9606.ENSP00000304032
7629,P0DMM9,SULT1A3 STM,9606.ENSP00000378570
7630,P31948,STIP1,9606.ENSP00000351646
7631,Q8WU08,STK32A YANK1,9606.ENSP00000381535
7632,A2A2V5,SERTM1 C13orf36,9606.ENSP00000325776
7633,Q9BQE3,TUBA1C TUBA6,9606.ENSP00000301072
7634,P24557,TBXAS1 CYP5 CYP5A1 TXAS,9606.ENSP00000389414
7635,O75674,TOM1L1 SRCASM,9606.ENSP00000460823
7636,O60602,TLR5 TIL3,9606.ENSP00000440643
7637,Q14656,TMEM187 CXorf12 DXS9878E ITBA1,9606.ENSP00000358999
7638,P21731,TBXA2R,9606.ENSP00000393333
7639,P40227,CCT6A CCT6 CCTZ,9606.ENSP00000275603
7640,Q86YL5,TDRP C8orf42,9606.ENSP00000430325
7641,P49221,TGM4,9606.ENSP00000296125
7642,Q12974,PTP4A2 PRL2 PTPCAAX2 BM-008,9606.ENSP00000344909
7643,Q9UJV3,MID2 FXY2 RNF60 TRIM1,9606.ENSP00000262843
7644,P83731,RPL24,9606.ENSP00000377640
7645,P63173,RPL38,9606.ENSP00000309830
7646,Q8N5N7,MRPL50,9606.ENSP00000363999
7647,Q08170,SRSF4 SFRS4 SRP75,9606.ENSP00000362900
7648,Q6IMI4,SULT6B1,9606.ENSP00000384950
7649,P15880,RPS2 RPS4,9606.ENSP00000341885
7650,P27105,STOM BND7 EPB72,9606.ENSP00000286713
7651,Q8WXE9,STON2 STN2 STNB,9606.ENSP00000450857
7652,Q6ZVD7,STOX1 C10orf24,9606.ENSP00000298596
7653,P09430,TNP1,9606.ENSP00000236979
7654,Q05952,TNP2,9606.ENSP00000325738
7655,Q8N1H7,SIX6OS1 C14orf39,9606.ENSP00000324920
7656,O76082,SLC22A5 OCTN2,9606.ENSP00000245407
7657,P35542,SAA4 CSAA,9606.ENSP00000278222
7658,Q9H015,SLC22A4 ETT OCTN1 UT2H,9606.ENSP00000200652
7659,Q8WUG5,SLC22A17 BOCT BOIT,9606.ENSP00000380437
7660,Q9UHI7,SLC23A1 SVCT1 YSPL3,9606.ENSP00000302851
7661,Q9UHR5,SAP30BP HCNGP HTRG HTRP,9606.ENSP00000462116
7662,Q6P087,RPUSD3,9606.ENSP00000373331
7663,Q9NYW2,TAS2R8,9606.ENSP00000240615
7664,Q8NBS3,SLC4A11 BTR1,9606.ENSP00000369399
7665,Q6SPF0,SAMD1,9606.ENSP00000431971
7666,Q9H190,SDCBP2 SITAC18,9606.ENSP00000371233
7667,P34925,RYK JTK5A,9606.ENSP00000478721
7668,Q14563,SEMA3A SEMAD,9606.ENSP00000265362
7669,Q96BU1,S100PBP S100PBPR,9606.ENSP00000362574
7670,Q9H3S1,SEMA4A SEMAB SEMB UNQ783/PRO1317,9606.ENSP00000357268
7671,O75326,SEMA7A CD108 SEMAL,9606.ENSP00000261918
7672,Q02383,SEMG2,9606.ENSP00000361855
7673,Q8WTV0,SCARB1 CD36L1 CLA1,9606.ENSP00000261693
7674,Q9BY50,SEC11C SEC11L3 SPC21 SPCS4C,9606.ENSP00000468633
7675,Q96B97,SH3KBP1 CIN85,9606.ENSP00000380921
7676,Q9H788,SH2D4A PPP1R38 SH2A,9606.ENSP00000265807
7677,Q99963,SH3GL3 CNSA3 SH3D2C,9606.ENSP00000320092
7678,Q8WYJ6,SEPTIN1 DIFF6 PNUTL3 SEPT1,9606.ENSP00000324511
7679,Q96NU1,SAMD11,9606.ENSP00000342313
7680,Q96IW7,SEC22A SEC22L2,9606.ENSP00000310521
7681,P0DME0,SETSIP SETP18,9606.ENSP00000480946
7682,Q9UHA2,SS18L2,9606.ENSP00000401115
7683,O15127,SCAMP2,9606.ENSP00000268099
7684,Q4G0G5,SCGB2B2 SCGB4A2 SCGBL,9606.ENSP00000469876
7685,P41440,SLC19A1 FLOT1 RFC1,9606.ENSP00000308895
7686,O15126,SCAMP1 SCAMP,9606.ENSP00000481022
7687,Q16181,SEPTIN7 CDC10 SEPT7,9606.ENSP00000381992
7688,Q9NRS6,SNX15,9606.ENSP00000366452
7689,Q15020,SART3 KIAA0156 TIP110,9606.ENSP00000228284
7690,Q5VVC0,SPO16 C1orf146 SCRE,9606.ENSP00000359401
7691,O75159,SOCS5 CIS6 CISH5 CISH6 KIAA0671,9606.ENSP00000305133
7692,Q86UG4,SLCO6A1 OATP6A1 SLC21A19,9606.ENSP00000421339
7693,P36952,SERPINB5 PI5,9606.ENSP00000372221
7694,Q9UPU9,SAMD4A KIAA1053 SAMD4 SMAUG1,9606.ENSP00000375919
7695,Q96H20,SNF8 EAP30,9606.ENSP00000421380
7696,Q16613,AANAT SNAT,9606.ENSP00000250615
7697,Q96AH0,NABP1 OBFC2A SSB2,9606.ENSP00000403683
7698,O00161,SNAP23,9606.ENSP00000249647
7699,Q9Y675,SNURF,9606.ENSP00000463201
7700,Q16842,ST3GAL2 SIAT4B,9606.ENSP00000377257
7701,O43290,SART1,9606.ENSP00000310448
7702,P98077,SHC2 SCK SHCB,9606.ENSP00000264554
7703,O43173,ST8SIA3 SIAT8C,9606.ENSP00000320431
7704,P30825,SLC7A1 ATRC1 ERR REC1L,9606.ENSP00000370128
7705,O15389,SIGLEC5 CD33L2 OBBP2,9606.ENSP00000470259
7706,Q6UWI4,SHISA2 C13orf13 TMEM46 UNQ9166/PRO28631,9606.ENSP00000313079
7707,O60296,TRAK2 ALS2CR3 KIAA0549,9606.ENSP00000328875
7708,Q6UWL2,SUSD1 UNQ2438/PRO4999,9606.ENSP00000363382
7709,O14662,STX16,9606.ENSP00000360183
7710,O43815,STRN,9606.ENSP00000263918
7711,O75486,SUPT3H SPT3,9606.ENSP00000360515
7712,Q13285,NR5A1 AD4BP FTZF1 SF1,9606.ENSP00000362690
7713,Q3SY00,TSGA10IP,9606.ENSP00000484252
7714,P59542,TAS2R19 TAS2R23 TAS2R48,9606.ENSP00000375091
7715,P48643,CCT5 CCTE KIAA0098,9606.ENSP00000280326
7716,Q9UFV1,TBC1D29P TBC1D29,9606.ENSP00000462799
7717,Q9BV44,THUMPD3,9606.ENSP00000339532
7718,Q6PEX7,TEX38 ATPAF1-AS1 C1orf223,9606.ENSP00000455854
7719,Q6B0B8,TIGD3,9606.ENSP00000308354
7720,Q9NPL8,TIMMDC1 C3orf1 UNQ247/PRO284,9606.ENSP00000418803
7721,Q8TBB0,THAP6,9606.ENSP00000309007
7722,Q9H147,DNTTIP1 C20orf167 TDIF1,9606.ENSP00000361705
7723,P50990,CCT8 C21orf112 CCTQ KIAA0002,9606.ENSP00000286788
7724,Q9UBX7,KLK11 PRSS20 TLSP UNQ649/PRO1279,9606.ENSP00000473047
7725,Q96KK3,KCNS1,9606.ENSP00000307694
7726,Q04760,GLO1,9606.ENSP00000362463
7727,Q14847,LASP1 MLN50,9606.ENSP00000325240
7728,Q3ZCW2,LGALSL GRP HSPC159,9606.ENSP00000238875
7729,O75387,SLC43A1 LAT3 PB39 POV1,9606.ENSP00000278426
7730,P09382,LGALS1,9606.ENSP00000215909
7731,Q8IV03,LURAP1L C9orf150 HYST0841,9606.ENSP00000321026
7732,Q6ZNQ3,LRRC69,9606.ENSP00000400803
7733,O95237,LRAT,9606.ENSP00000337224
7734,P29376,LTK TYK1,9606.ENSP00000263800
7735,A6NIV6,LRRIQ4 LRRC64,9606.ENSP00000342188
7736,Q8NA19,L3MBTL4,9606.ENSP00000382976
7737,Q8TCA0,LRRC20 UNQ2429/PRO4989,9606.ENSP00000348043
7738,Q16649,NFIL3 E4BP4 IL3BP1,9606.ENSP00000297689
7739,P43356,MAGEA2 MAGE2 MAGEA2A; MAGEA2B MAGE2 MAGEA2,9606.ENSP00000485541
7740,Q9BRK4,LZTS2 KIAA1813 LAPSER1,9606.ENSP00000359240
7741,Q9H841,NIPAL2 NPAL2,9606.ENSP00000339256
7742,Q96T17,MAP7D2,9606.ENSP00000368964
7743,Q14210,LY6D E48,9606.ENSP00000301263
7744,Q7KZI7,MARK2 EMK1,9606.ENSP00000385751
7745,Q8NA82,MARCHF10 MARCH10 RNF190,9606.ENSP00000463080
7746,A6NNE9,MARCHF11 MARCH11,9606.ENSP00000333181
7747,Q8N1E2,LYG1 UNQ1939/PRO4422,9606.ENSP00000386923
7748,Q8NDC0,MAPK1IP1L C14orf32,9606.ENSP00000378851
7749,Q96G25,MED8,9606.ENSP00000290663
7750,Q86SM8,MRGPRE GPR167 MRGE,9606.ENSP00000374482
7751,Q8TDS7,MRGPRD MRGD,9606.ENSP00000310631
7752,Q9H3H1,TRIT1 IPT MOD5,9606.ENSP00000321810
7753,Q9BXI2,SLC25A2 ORNT2,9606.ENSP00000239451
7754,Q99983,OMD SLRR2C UNQ190/PRO216,9606.ENSP00000364700
7755,Q9P0S3,ORMDL1 HSPC202,9606.ENSP00000326869
7756,P47890,OR1G1 OR1G2,9606.ENSP00000331545
7757,Q6PK18,OGFOD3 C17orf101,9606.ENSP00000330075
7758,Q8NGI3,OR56B1 OR56B1P,9606.ENSP00000322939
7759,Q96A54,ADIPOR1 PAQR1 TESBP1A CGI-45,9606.ENSP00000341785
7760,Q6ZRP7,QSOX2 QSCN6L1 SOXN,9606.ENSP00000351536
7761,Q2TAL8,QRICH1,9606.ENSP00000378830
7762,O96011,PEX11B,9606.ENSP00000358312
7763,P31930,UQCRC1,9606.ENSP00000203407
7764,Q8N2H3,PYROXD2 C10orf33,9606.ENSP00000359607
7765,Q8TAI7,RHEBL1,9606.ENSP00000301068
7766,P38159,RBMX HNRPG RBMXP1,9606.ENSP00000359645
7767,P63244,RACK1 GNB2L1 HLC7 PIG21,9606.ENSP00000426909
7768,Q6ZTI6,RFLNA FAM101A,9606.ENSP00000374377
7769,Q9Y644,RFNG,9606.ENSP00000307971
